,0,1,2,3,4
2001/1/31,-0.002928801,-0.092252752,0.286392307,-0.028842425,0.094397273
2001/2/28,0.00393656,0.028301423,0.070849633,0.019892903,0.002684651
2001/3/31,0.00240324,0.01481266,0.006834252,0.025030348,-0.011404016
2001/4/30,-0.002462978,0.039512807,0.02798578,0.026839553,0.022298998
2001/5/31,-0.000173324,-0.016274021,0.107514772,0.019113699,-0.001162281
2001/6/30,-8.11E-05,0.010432277,0.012511501,0.014525359,-0.013246656
2001/7/31,0.00209531,0.025933136,0.046987956,0.018156223,-0.005132854
2001/8/31,0.001670137,0.008039358,0.023145455,0.02339969,-0.005885086
2001/9/30,0.001959225,-0.043350541,-0.056942258,0.06088829,-0.004525843
2001/10/31,-0.003387881,-0.030523347,0.028707734,0.040773961,0.022737898
2001/11/30,-0.002828573,0.013409745,0.014332977,0.008077098,0.021191633
2001/12/31,-0.001286725,0.016832568,0.045269029,0.008841417,0.008410103
2002/1/31,0.001317505,-0.015541653,0.100893109,0.011554458,0.00666837
2002/2/28,0.002508991,0.047717572,0.043900082,0.009720471,-0.003487492
2002/3/31,-0.00060296,0.042910042,0.079154016,-0.009168431,0.006229327
2002/4/30,0.003090167,0.051295098,0.106601088,-0.005990196,-0.007751849
2002/5/31,0.001763891,0.011275914,0.05138349,0.024429761,-0.007475982
2002/6/30,0.0015379,0.021399065,-0.027837453,0.028601277,-0.013672924
2002/7/31,0.001496426,-0.032460968,-0.048661417,0.052412191,0.012219596
2002/8/31,0.000450708,0.011534021,0.047153577,0.024696007,0.010578472
2002/9/30,0.001120325,-0.007756879,-0.057641484,0.031473832,-0.00970713
2002/10/31,-0.001878262,-0.003271805,0.029397865,0.039883797,0.017176255
2002/11/30,-0.002720619,-0.041736099,0.116539071,-0.000228118,0.044778287
2002/12/31,0.00200021,0.043120917,0.013780307,0.017943584,-0.000106006
2003/1/31,0.000691862,-0.043565941,0.054279946,0.015825461,-0.000717843
2003/2/28,0.000445408,-0.012406365,-0.003685184,0.020249817,-0.004473133
2003/3/31,-0.000380808,-0.007987805,0.014489976,0.015395443,-0.00187603
2003/4/30,-0.001819357,-0.002492533,0.075923412,-0.001965275,0.009777038
2003/5/31,-0.002467269,-0.087222051,0.144452684,0.004486348,0.017798967
2003/6/30,0.000120722,-0.036316349,0.099153327,0.000359451,0.006761972
2003/7/31,-0.000637625,-0.012669034,0.085812685,0.003129514,-0.001578147
2003/8/31,-0.000795735,-0.002229691,0.047922789,0.006036169,0.004036424
2003/9/30,0.000495526,-0.063627427,0.086383567,0.011944824,0.005525903
2003/10/31,-0.000581993,0.019798045,0.082707409,-0.004859545,-0.008594529
2003/11/30,0.000270924,0.015352348,0.059253479,0.00348879,-0.007225578
2003/12/31,0.000642667,0.007419862,0.076114995,-0.007532468,0.010096377
2004/1/31,-0.000462726,-0.073520092,0.113489698,0.002473586,0.010411989
2004/2/29,0.000978431,0.027058792,0.048663602,-0.00077268,-0.003942969
2004/3/31,0.000759968,0.013649884,0.030694283,0.004776326,-0.007180415
2004/4/30,0.00120328,-0.008259385,0.007319863,-0.001947062,0.001832772
2004/5/31,-0.000239434,0.025110503,-0.001136557,0.020507016,-0.000121808
2004/6/30,-6.82E-05,0.039147928,0.025934144,0.003986787,0.000652836
2004/7/31,0.002182095,0.017912581,-0.003047452,0.005831975,-0.004219064
2004/8/31,0.000527504,0.010847683,0.005350438,0.010167894,-0.000730195
2004/9/30,-0.000566901,0.018779561,0.029312637,0.005848034,-0.005714016
2004/10/31,-0.000108593,0.013377461,0.016830345,7.31E-05,0.000640344
2004/11/30,-0.000417369,0.008937516,0.107895697,-0.001750721,0.004911092
2004/12/31,-0.000273651,-0.027022841,0.084558528,-0.005399219,0.007359001
2005/1/31,0.001389275,0.010184966,0.010676792,0.011738678,-0.006168709
2005/2/28,0.00013286,0.026313481,0.01103902,0.00634678,-0.006557825
2005/3/31,0.000982788,0.015599101,-0.000393517,0.008244688,-0.000511468
2005/4/30,0.000854277,-0.00587424,-0.034689158,0.017606497,-0.000967911
2005/5/31,-0.001142783,0.022984716,0.022624477,0.011076124,0.00099979
2005/6/30,-0.000289649,0.01050215,0.032699801,0.002439094,-0.001325313
2005/7/31,-0.000966863,0.009537366,0.047940229,0.000985626,-0.000821913
2005/8/31,0.000190548,-0.011665304,0.003436493,0.019900916,-0.00384971
2005/9/30,-0.000173229,-0.008545908,0.003534657,0.012519818,-0.007800902
2005/10/31,0.000542651,0.003130683,-0.017794819,0.014064366,-0.00048647
2005/11/30,-0.00048048,0.02825661,0.030846282,0.007574441,0.001576097
2005/12/31,0.000176042,-0.005655307,0.022104537,0.005569509,-0.001014212
2006/1/31,-0.001600056,-0.012434688,0.044825606,0.001300801,-0.003176755
2006/2/28,0.000251328,-0.013236717,0.033295206,0.017105316,0.002659001
2006/3/31,-7.52E-05,0.002854397,0.051606769,0.001433445,-0.005082658
2006/4/30,0.000359154,0.009790521,0.014959399,-0.001965336,-0.000996058
2006/5/31,0.001491104,0.007753049,-0.00586673,0.008879347,0.002517871
2006/6/30,0.000328044,0.0124034,-0.002914331,0.008530006,-0.002394447
2006/7/31,0.001028903,0.00963707,-0.00444537,0.011607943,0.002350036
2006/8/31,-0.000319671,0.003185016,0.022527087,0.009147671,0.006223494
2006/9/30,0.000228906,0.015159767,0.019528878,0.002746359,0.001346015
2006/10/31,-0.000782347,0.010224971,0.027249705,-0.003870924,0.000311713
2006/11/30,-0.00026898,0.009878133,0.018782463,0.001317898,-0.000587194
2006/12/31,0.000498926,0.000252994,0.042154712,0.006695018,0.001064398
2007/1/31,0.000297177,-0.003034428,0.046443169,0.003162609,-1.15E-05
2007/2/28,0.000283574,-0.008969143,0.022007672,0.009015646,0.002546435
2007/3/31,-0.000141048,0.00945518,-0.009969509,0.010250488,-0.010096229
2007/4/30,-0.000376202,0.003360461,0.014821278,0.005815144,-0.004543052
2007/5/31,-0.000291059,0.038129212,0.008247018,0.004798499,-0.002150536
2007/6/30,0.000155579,-0.00858537,-0.001720908,0.00876209,-0.000840973
2007/7/31,0.000432219,-0.033727274,-0.040888842,0.023070787,-0.006160984
2007/8/31,-0.000296178,0.022378819,-0.029374519,0.01588826,-0.000418532
2007/9/30,-0.000309,-0.001308474,0.004608731,0.010342108,-0.011463267
2007/10/31,-0.000549542,-0.003543076,-0.007245851,0.018139146,-0.01106331
2007/11/30,0.000945459,0.009759039,-0.066191727,0.032520402,-0.004920723
2007/12/31,-0.000312951,0.007105753,-0.028924031,0.020384193,-0.003437706
2008/1/31,0.000956783,-0.011597374,-0.010882449,0.002919453,0.026957926
2008/2/29,0.000721551,-0.017981261,0.023670837,0.030498791,0.003171777
2008/3/31,-0.000133858,0.023697711,-0.037045667,0.014863736,0.003652236
2008/4/30,-0.000994902,0.027452402,-0.004836456,0.016346866,0.000177289
2008/5/31,-0.000592256,0.005152056,0.027136845,0.014765689,-0.006762155
2008/6/30,0.000830987,-0.048626607,-0.069764627,0.040065043,-0.018981923
2008/7/31,-0.000822876,0.022443735,-0.002587762,0.021859375,0.012605047
2008/8/31,-0.000267043,0.038498987,0.020761717,6.11E-05,0.010122173
2008/9/30,0.000647228,0.006737966,-0.128261329,0.005067192,0.004819163
2008/10/31,0.001751899,-0.078425422,-0.168805711,0.055089797,0.000863687
2008/11/30,0.000766031,-0.029188426,-0.126014018,0.054744054,-0.004103558
2008/12/31,-0.000760916,0.05818511,0.034218937,0.038771661,0.012029442
2009/1/31,0.000575728,-0.12276037,0.05577859,0.057996708,0.018089123
2009/2/28,0.000947038,-0.049280322,-0.073961748,0.053155478,-0.003990443
2009/3/31,-0.001137592,0.00018384,0.149482314,-0.015212456,0.027076909
2009/4/30,-0.002373635,0.055242627,0.191225494,-0.064539403,0.053214159
2009/5/31,-0.000299764,-0.037072116,0.166739432,0.00710442,0.021887987
2009/6/30,-1.73E-05,-0.035688497,0.085105569,0.031313193,-0.000969386
2009/7/31,-0.001688796,0.029502052,0.059531542,0.002230929,0.010803743
2009/8/31,-0.000636081,-0.04034029,0.108411293,-0.005467911,0.032941869
2009/9/30,-0.001958202,-0.020101552,0.043157995,0.00730898,0.015015076
2009/10/31,0.001653159,0.013973276,-0.014378703,0.016061662,0.000280905
2009/11/30,-0.000410062,0.030245427,0.013106611,0.018757567,-0.006163304
2009/12/31,-0.001277896,0.022015253,0.048789593,0.009818777,0.005925806
2010/1/31,0.001103282,-0.036393588,0.063649672,-0.00230298,0.017903938
2010/2/28,-0.000359169,0.024897236,0.035229598,0.005611874,-0.005331751
2010/3/31,-0.000154033,0.027459466,0.097513544,-0.00561099,-0.000320566
2010/4/30,0.000331693,-0.019249226,0.12284123,-0.026351591,0.009186966
2010/5/31,0.001326073,-0.004298211,-0.0410866,0.029576877,-0.005201424
2010/6/30,0.001232107,-0.005246526,-0.046142577,0.026347626,-0.008515423
2010/7/31,-0.001186527,0.033496298,0.029973501,0.001060617,0.008243253
